Colsample,learning_rate,Max_depth,Profit
0.1,0.01,2.0,0.22
0.1,0.01,3.0,0.41
0.1,0.01,4.0,0.39
0.1,0.01,5.0,0.41
0.1,0.01,6.0,0.34
0.1,0.01,7.0,0.27
0.1,0.01,8.0,0.3
0.1,0.01,9.0,0.3
0.1,0.01,10.0,0.3
0.1,0.01,11.0,0.26
0.1,0.01,12.0,0.26
0.1,0.01,13.0,0.26
0.1,0.01,14.0,0.26
0.1,0.01,15.0,0.26
0.1,0.01,16.0,0.26
0.1,0.01,17.0,0.26
0.1,0.01,18.0,0.26
0.1,0.01,19.0,0.26
0.1,0.01,20.0,0.26
0.1,0.01,21.0,0.26
0.1,0.01,22.0,0.26
0.1,0.01,23.0,0.26
0.1,0.01,24.0,0.26
0.1,0.01,25.0,0.26
0.1,0.01,26.0,0.26
0.1,0.01,27.0,0.26
0.1,0.01,28.0,0.26
0.1,0.01,29.0,0.26
0.1,0.02,2.0,0.4
0.1,0.02,3.0,0.4
0.1,0.02,4.0,0.38
0.1,0.02,5.0,0.4
0.1,0.02,6.0,0.39
0.1,0.02,7.0,0.27
0.1,0.02,8.0,0.3
0.1,0.02,9.0,0.3
0.1,0.02,10.0,0.3
0.1,0.02,11.0,0.26
0.1,0.02,12.0,0.26
0.1,0.02,13.0,0.26
0.1,0.02,14.0,0.26
0.1,0.02,15.0,0.26
0.1,0.02,16.0,0.26
0.1,0.02,17.0,0.26
0.1,0.02,18.0,0.26
0.1,0.02,19.0,0.26
0.1,0.02,20.0,0.26
0.1,0.02,21.0,0.26
0.1,0.02,22.0,0.26
0.1,0.02,23.0,0.26
0.1,0.02,24.0,0.26
0.1,0.02,25.0,0.26
0.1,0.02,26.0,0.26
0.1,0.02,27.0,0.26
0.1,0.02,28.0,0.26
0.1,0.02,29.0,0.26
0.1,0.03,2.0,0.4
0.1,0.03,3.0,0.41
0.1,0.03,4.0,0.38
0.1,0.03,5.0,0.43
0.1,0.03,6.0,0.42
0.1,0.03,7.0,0.39
0.1,0.03,8.0,0.38
0.1,0.03,9.0,0.3
0.1,0.03,10.0,0.3
0.1,0.03,11.0,0.26
0.1,0.03,12.0,0.26
0.1,0.03,13.0,0.26
0.1,0.03,14.0,0.26
0.1,0.03,15.0,0.26
0.1,0.03,16.0,0.26
0.1,0.03,17.0,0.26
0.1,0.03,18.0,0.26
0.1,0.03,19.0,0.26
0.1,0.03,20.0,0.26
0.1,0.03,21.0,0.26
0.1,0.03,22.0,0.26
0.1,0.03,23.0,0.26
0.1,0.03,24.0,0.26
0.1,0.03,25.0,0.26
0.1,0.03,26.0,0.26
0.1,0.03,27.0,0.26
0.1,0.03,28.0,0.26
0.1,0.03,29.0,0.26
0.1,0.04,2.0,0.4
0.1,0.04,3.0,0.41
0.1,0.04,4.0,0.4
0.1,0.04,5.0,0.45
0.1,0.04,6.0,0.4
0.1,0.04,7.0,0.43
0.1,0.04,8.0,0.4
0.1,0.04,9.0,0.39
0.1,0.04,10.0,0.3
0.1,0.04,11.0,0.26
0.1,0.04,12.0,0.26
0.1,0.04,13.0,0.26
0.1,0.04,14.0,0.26
0.1,0.04,15.0,0.26
0.1,0.04,16.0,0.26
0.1,0.04,17.0,0.26
0.1,0.04,18.0,0.26
0.1,0.04,19.0,0.26
0.1,0.04,20.0,0.26
0.1,0.04,21.0,0.26
0.1,0.04,22.0,0.26
0.1,0.04,23.0,0.26
0.1,0.04,24.0,0.26
0.1,0.04,25.0,0.26
0.1,0.04,26.0,0.26
0.1,0.04,27.0,0.26
0.1,0.04,28.0,0.26
0.1,0.04,29.0,0.26
0.1,0.05,2.0,0.4
0.1,0.05,3.0,0.42
0.1,0.05,4.0,0.42
0.1,0.05,5.0,0.45
0.1,0.05,6.0,0.44
0.1,0.05,7.0,0.45
0.1,0.05,8.0,0.37
0.1,0.05,9.0,0.37
0.1,0.05,10.0,0.3
0.1,0.05,11.0,0.38
0.1,0.05,12.0,0.26
0.1,0.05,13.0,0.26
0.1,0.05,14.0,0.26
0.1,0.05,15.0,0.26
0.1,0.05,16.0,0.26
0.1,0.05,17.0,0.26
0.1,0.05,18.0,0.26
0.1,0.05,19.0,0.26
0.1,0.05,20.0,0.26
0.1,0.05,21.0,0.26
0.1,0.05,22.0,0.26
0.1,0.05,23.0,0.26
0.1,0.05,24.0,0.26
0.1,0.05,25.0,0.26
0.1,0.05,26.0,0.26
0.1,0.05,27.0,0.26
0.1,0.05,28.0,0.26
0.1,0.05,29.0,0.26
0.1,0.06,2.0,0.4
0.1,0.06,3.0,0.41
0.1,0.06,4.0,0.41
0.1,0.06,5.0,0.41
0.1,0.06,6.0,0.42
0.1,0.06,7.0,0.45
0.1,0.06,8.0,0.39
0.1,0.06,9.0,0.35
0.1,0.06,10.0,0.35
0.1,0.06,11.0,0.37
0.1,0.06,12.0,0.26
0.1,0.06,13.0,0.26
0.1,0.06,14.0,0.26
0.1,0.06,15.0,0.26
0.1,0.06,16.0,0.26
0.1,0.06,17.0,0.26
0.1,0.06,18.0,0.26
0.1,0.06,19.0,0.26
0.1,0.06,20.0,0.26
0.1,0.06,21.0,0.26
0.1,0.06,22.0,0.26
0.1,0.06,23.0,0.26
0.1,0.06,24.0,0.26
0.1,0.06,25.0,0.26
0.1,0.06,26.0,0.26
0.1,0.06,27.0,0.26
0.1,0.06,28.0,0.26
0.1,0.06,29.0,0.26
0.1,0.07,2.0,0.41
0.1,0.07,3.0,0.4
0.1,0.07,4.0,0.4
0.1,0.07,5.0,0.38
0.1,0.07,6.0,0.43
0.1,0.07,7.0,0.44
0.1,0.07,8.0,0.39
0.1,0.07,9.0,0.4
0.1,0.07,10.0,0.37
0.1,0.07,11.0,0.35
0.1,0.07,12.0,0.41
0.1,0.07,13.0,0.4
0.1,0.07,14.0,0.38
0.1,0.07,15.0,0.37
0.1,0.07,16.0,0.38
0.1,0.07,17.0,0.38
0.1,0.07,18.0,0.38
0.1,0.07,19.0,0.38
0.1,0.07,20.0,0.38
0.1,0.07,21.0,0.38
0.1,0.07,22.0,0.38
0.1,0.07,23.0,0.38
0.1,0.07,24.0,0.38
0.1,0.07,25.0,0.38
0.1,0.07,26.0,0.38
0.1,0.07,27.0,0.38
0.1,0.07,28.0,0.38
0.1,0.07,29.0,0.38
0.1,0.08,2.0,0.4
0.1,0.08,3.0,0.4
0.1,0.08,4.0,0.39
0.1,0.08,5.0,0.45
0.1,0.08,6.0,0.44
0.1,0.08,7.0,0.44
0.1,0.08,8.0,0.4
0.1,0.08,9.0,0.42
0.1,0.08,10.0,0.41
0.1,0.08,11.0,0.35
0.1,0.08,12.0,0.37
0.1,0.08,13.0,0.38
0.1,0.08,14.0,0.36
0.1,0.08,15.0,0.38
0.1,0.08,16.0,0.36
0.1,0.08,17.0,0.36
0.1,0.08,18.0,0.36
0.1,0.08,19.0,0.36
0.1,0.08,20.0,0.36
0.1,0.08,21.0,0.36
0.1,0.08,22.0,0.36
0.1,0.08,23.0,0.36
0.1,0.08,24.0,0.36
0.1,0.08,25.0,0.36
0.1,0.08,26.0,0.36
0.1,0.08,27.0,0.36
0.1,0.08,28.0,0.36
0.1,0.08,29.0,0.36
0.1,0.09,2.0,0.4
