Seed,Algorithm,Preprocessing Pipeline,Scaling,Sampling,time,precision,recall,result_profit
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,StandardScaler,RandomOverSampler_0.2,0:01:24.263231,0.578313253012048,0.780487804878049,0.567
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,Normalizer,TomekLinks,0:01:24.394353,0.563253012048193,0.273792093704246,0.194
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,RobustScaler,SMOTETomek,0:02:07.737026,0.762048192771084,0.608173076923077,0.537
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,Normalizer,EditedNN,0:01:08.886222,0.620481927710843,0.289732770745429,0.223
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:01:41.676216,0.689759036144578,0.687687687687688,0.572
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,RobustScaler,None,0:01:43.715566,0.683734939759036,0.677611940298507,0.56
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,Normalizer,SMOTE,0:02:09.682695,0.731927710843373,0.25796178343949,0.223
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:01:48.404667,0.674698795180723,0.711111111111111,0.583
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,MinMaxScaler,RandomOverSampler_0.2,0:01:38.231959,0.620481927710843,0.746376811594203,0.575
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,StandardScaler,TomekLinks,0:01:21.894953,0.575301204819277,0.802521008403361,0.58
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,Normalizer,SMOTETomek,0:02:00.078785,0.774096385542169,0.262512768130746,0.234
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,MinMaxScaler,RandomOverSampler_0.5,0:01:42.020124,0.680722891566265,0.640226628895184,0.528
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,StandardScaler,EditedNN,0:01:08.550222,0.686746987951807,0.664723032069971,0.551
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,Normalizer,None,0:01:29.244618,0.457831325301205,0.316008316008316,0.176
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,MinMaxScaler,RandomOverSampler_0.5,0:01:52.843467,0.674698795180723,0.645533141210375,0.529
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,StandardScaler,SMOTE,0:01:55.591655,0.689759036144578,0.702453987730061,0.584
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,None,RandomOverSampler_0.2,0:01:44.532065,0,0,0
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,MinMaxScaler,TomekLinks,0:01:35.006965,0.680722891566265,0.680722891566265,0.561
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,StandardScaler,SMOTETomek,0:02:03.285694,0.716867469879518,0.636363636363636,0.542
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,None,RandomOverSampler_0.5,0:01:50.044384,0.831325301204819,0.171855541718555,0.159
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,MinMaxScaler,EditedNN,0:01:15.133271,0.753012048192771,0.578703703703704,0.508
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,StandardScaler,None,0:01:19.091750,0.626506024096386,0.815686274509804,0.633
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,None,RandomOverSampler_0.5,0:01:38.138480,0,0,0
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,MinMaxScaler,SMOTE,0:01:45.350426,0.725903614457831,0.599502487562189,0.515
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,RobustScaler,RandomOverSampler_0.2,0:01:21.148017,0.608433734939759,0.759398496240602,0.576
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,None,TomekLinks,0:01:19.931204,0,0,0
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,RobustScaler,RandomOverSampler_0.5,0:01:34.971659,0.626506024096386,0.695652173913043,0.54
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,MinMaxScaler,SMOTETomek,0:02:00.751784,0.743975903614458,0.532327586206897,0.464
1,KerasNN_6l_6n_oa_ih_lm_d4,Joris_Pipeline,None,EditedNN,0:01:05.625477,0,0,0
1,KerasNN_6l_12n_oa_ih_lm_d4,Morten_Pipeline,MinMaxScaler,None,0:01:23.675107,0.671686746987952,0.690402476780186,0.564
1,KerasNN_6l_12n_or_iu_lm_d4,Joris_Pipeline,RobustScaler,RandomOverSampler_0.5,0:01:26.363204,0.659638554216867,0.737373737373737,0.595
