Seed,Algorithm,Preprocessing Pipeline,Scaling,Sampling,time,precision,recall,result_profit
1,LinearRegression,chop_off,StandardScaler,RandomOverSampler_0.2,0:00:02.500011,0.645833333333333,0.502024291497976,0.399
1,LinearRegression,Joris_Pipeline,StandardScaler,RandomOverSampler_0.2,0:00:03.617006,0.608433734939759,0.612121212121212,0.464
1,LinearRegression,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:03.277124,0.567708333333333,0.592391304347826,0.423
1,LinearRegression,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:03.112668,0.596385542168675,0.613003095975232,0.457
1,LogisticRegression,chop_off,StandardScaler,RandomOverSampler_0.2,0:00:08.091031,0.515625,0.647058823529412,0.419
1,LinearRegression,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:02.890289,0.557291666666667,0.584699453551913,0.411
1,LinearRegression,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:03.123378,0.620481927710843,0.609467455621302,0.47
1,GaussianNB,chop_off,StandardScaler,RandomOverSampler_0.2,0:00:08.852291,0.598958333333333,0.248917748917749,0.186
1,LinearSVC,chop_off,StandardScaler,RandomOverSampler_0.2,0:00:09.217528,0.5,0.64,0.4
1,SVC,chop_off,StandardScaler,RandomOverSampler_0.2,0:00:09.438189,0.3125,0.652173913043478,0.114
1,GaussianNB,Joris_Pipeline,StandardScaler,RandomOverSampler_0.2,0:00:11.045614,0.61144578313253,0.388888888888889,0.296
1,LogisticRegression,Joris_Pipeline,StandardScaler,RandomOverSampler_0.2,0:00:11.898738,0.493975903614458,0.672131147540984,0.414
1,LinearSVC,Joris_Pipeline,StandardScaler,RandomOverSampler_0.2,0:00:11.006444,0.481927710843373,0.689655172413793,0.412
1,SGDClassifier,Joris_Pipeline,StandardScaler,RandomOverSampler_0.2,0:00:11.082471,0.481927710843373,0.484848484848485,0.289
1,LinearRegression,chop_off,StandardScaler,TomekLinks,0:00:04.078609,0.614583333333333,0.49789029535865,0.381
1,SVC,Joris_Pipeline,StandardScaler,RandomOverSampler_0.2,0:00:11.578091,0.367469879518072,0.734939759036145,0.261
1,LinearRegression,Joris_Pipeline,StandardScaler,TomekLinks,0:00:05.004953,0.557228915662651,0.631399317406143,0.443
1,LogisticRegression,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:08.140421,0.671875,0.467391304347826,0.382
1,LinearRegression,chop_off,StandardScaler,EditedNN,0:00:04.713483,0.703125,0.436893203883495,0.368
1,LinearRegression,Joris_Pipeline,StandardScaler,EditedNN,0:00:04.691032,0.605421686746988,0.558333333333333,0.422
1,GaussianNB,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:09.393429,0.614583333333333,0.226053639846743,0.173
1,LinearRegression,chop_off,StandardScaler,SMOTE,0:00:03.124954,0.630208333333333,0.533039647577092,0.416
1,LinearSVC,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:10.369155,0.671875,0.470802919708029,0.385
1,SVC,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:10.476866,0.505208333333333,0.50259067357513,0.318
1,GaussianNB,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:11.010139,0.650602409638554,0.370497427101201,0.296
1,LinearRegression,Joris_Pipeline,StandardScaler,SMOTE,0:00:03.373276,0.599397590361446,0.610429447852761,0.457
1,LogisticRegression,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:11.825604,0.656626506024096,0.551898734177215,0.444
1,SGDClassifier,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:11.547506,0.593373493975904,0.367537313432836,0.273
1,SVC,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:11.630296,0.608433734939759,0.567415730337079,0.43
1,LogisticRegression,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:09.310844,0.619791666666667,0.528888888888889,0.407
1,LinearRegression,chop_off,StandardScaler,SMOTETomek,0:00:06.111699,0.619791666666667,0.508547008547009,0.392
1,LinearSVC,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:14.294355,0.644578313253012,0.56020942408377,0.444
1,GaussianNB,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:09.416818,0.604166666666667,0.243186582809224,0.183
1,LinearRegression,Joris_Pipeline,StandardScaler,SMOTETomek,0:00:06.844338,0.620481927710843,0.57703081232493,0.445
1,LinearRegression,chop_off,StandardScaler,None,0:00:03.195477,0.588541666666667,0.51131221719457,0.377
1,LinearSVC,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:09.965916,0.619791666666667,0.545871559633028,0.42
1,SVC,chop_off,StandardScaler,RandomOverSampler_0.5,0:00:10.056244,0.447916666666667,0.56953642384106,0.306
1,LinearRegression,chop_off,RobustScaler,RandomOverSampler_0.2,0:00:03.248872,0.520833333333333,0.613496932515337,0.402
1,LinearRegression,Joris_Pipeline,StandardScaler,None,0:00:03.903121,0.605421686746988,0.603603603603604,0.456
1,GaussianNB,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:11.971455,0.650602409638554,0.367972742759796,0.294
1,LogisticRegression,chop_off,StandardScaler,TomekLinks,0:00:09.077029,0.463541666666667,0.669172932330827,0.379
1,LogisticRegression,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:12.168784,0.596385542168675,0.6,0.448
1,SGDClassifier,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:11.965152,0.626506024096386,0.45119305856833,0.35
1,LinearRegression,chop_off,RobustScaler,RandomOverSampler_0.5,0:00:03.406475,0.5625,0.6,0.425
1,SVC,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:12.949210,0.521084337349398,0.652830188679245,0.428
1,LinearRegression,Joris_Pipeline,RobustScaler,RandomOverSampler_0.2,0:00:04.257138,0.605421686746988,0.614678899082569,0.464
1,GaussianNB,chop_off,StandardScaler,TomekLinks,0:00:10.965426,0.583333333333333,0.269230769230769,0.197
1,LinearRegression,chop_off,RobustScaler,RandomOverSampler_0.5,0:00:03.563066,0.583333333333333,0.557213930348259,0.408
1,LinearSVC,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:14.074347,0.575301204819277,0.606349206349206,0.438
1,LinearSVC,chop_off,StandardScaler,TomekLinks,0:00:10.642920,0.4375,0.7,0.362
1,LinearRegression,Joris_Pipeline,RobustScaler,RandomOverSampler_0.5,0:00:03.995388,0.596385542168675,0.616822429906542,0.46
1,SVC,chop_off,StandardScaler,TomekLinks,0:00:11.826974,0.213541666666667,0.621212121212121,-0.237
1,LinearRegression,chop_off,RobustScaler,TomekLinks,0:00:04.686792,0.588541666666667,0.530516431924883,0.391
1,LogisticRegression,chop_off,StandardScaler,EditedNN,0:00:11.017324,0.588541666666667,0.525581395348837,0.388
1,LinearRegression,Joris_Pipeline,RobustScaler,RandomOverSampler_0.5,0:00:04.184337,0.599397590361446,0.629746835443038,0.472
1,GaussianNB,Joris_Pipeline,StandardScaler,TomekLinks,0:00:13.622988,0.647590361445783,0.397412199630314,0.316
1,LinearRegression,chop_off,RobustScaler,EditedNN,0:00:04.242035,0.5625,0.548223350253807,0.388
1,LogisticRegression,Joris_Pipeline,StandardScaler,TomekLinks,0:00:13.473969,0.515060240963855,0.66796875,0.432
1,SGDClassifier,Joris_Pipeline,StandardScaler,TomekLinks,0:00:14.366238,0.47289156626506,0.461764705882353,0.269
1,GaussianNB,chop_off,StandardScaler,EditedNN,0:00:10.715615,0.473958333333333,0.404444444444444,0.236
1,LinearRegression,Joris_Pipeline,RobustScaler,TomekLinks,0:00:05.300569,0.575301204819277,0.62214983713355,0.45
1,SVC,Joris_Pipeline,StandardScaler,TomekLinks,0:00:13.838566,0.406626506024096,0.695876288659794,0.315
1,LinearSVC,chop_off,StandardScaler,EditedNN,0:00:10.401411,0.572916666666667,0.511627906976744,0.369
1,LinearRegression,chop_off,RobustScaler,SMOTE,0:00:03.344754,0.552083333333333,0.588888888888889,0.41
1,SVC,chop_off,StandardScaler,EditedNN,0:00:10.810890,0.447916666666667,0.48314606741573,0.26
1,LinearSVC,Joris_Pipeline,StandardScaler,TomekLinks,0:00:14.382207,0.469879518072289,0.675324675324675,0.39
1,LogisticRegression,chop_off,StandardScaler,SMOTE,0:00:10.203406,0.651041666666667,0.443262411347518,0.354
1,LinearRegression,chop_off,RobustScaler,SMOTETomek,0:00:04.345508,0.645833333333333,0.490118577075099,0.389
1,LinearRegression,Joris_Pipeline,RobustScaler,EditedNN,0:00:05.395159,0.63855421686747,0.579234972677596,0.456
1,LinearRegression,chop_off,RobustScaler,None,0:00:03.671008,0.59375,0.513513513513513,0.382
1,LinearRegression,Joris_Pipeline,RobustScaler,SMOTE,0:00:03.856026,0.575301204819277,0.634551495016611,0.459
1,GaussianNB,chop_off,StandardScaler,SMOTE,0:00:10.412786,0.604166666666667,0.207142857142857,0.156
1,GaussianNB,Joris_Pipeline,StandardScaler,EditedNN,0:00:14.034645,0.542168674698795,0.463917525773196,0.317
1,LinearSVC,chop_off,StandardScaler,SMOTE,0:00:10.867995,0.645833333333333,0.438162544169611,0.348
1,LogisticRegression,Joris_Pipeline,StandardScaler,EditedNN,0:00:13.825695,0.620481927710843,0.575418994413408,0.443
1,LinearRegression,chop_off,MinMaxScaler,RandomOverSampler_0.2,0:00:03.155541,0.625,0.51063829787234,0.396
1,SVC,chop_off,StandardScaler,SMOTE,0:00:09.781934,0.473958333333333,0.486631016042781,0.284
1,SGDClassifier,Joris_Pipeline,StandardScaler,EditedNN,0:00:13.827060,0.66566265060241,0.446464646464646,0.362
1,SVC,Joris_Pipeline,StandardScaler,EditedNN,0:00:14.650662,0.569277108433735,0.544668587896254,0.39
1,LinearRegression,Joris_Pipeline,RobustScaler,SMOTETomek,0:00:06.255376,0.659638554216867,0.551637279596977,0.445
