Municipality,Coordinates,x,y
Arcos de Valdevez,"(41.8458289, -8.419221300000002)",41.8458289,-8.4192213
Caminha,"(41.8772779, -8.8388267)",41.8772779,-8.8388267
Melgaço,"(42.1144544, -8.2579742)",42.1144544,-8.2579742
Monção,"(42.0771855, -8.4819441)",42.0771855,-8.4819441
Paredes de Coura,"(41.9130455, -8.5614589)",41.9130455,-8.5614589
Ponte da Barca,"(41.8056373, -8.4157905)",41.8056373,-8.4157905
Ponte de Lima,"(41.7647333, -8.5827407)",41.7647333,-8.5827407
Valença,"(42.02688939999999, -8.6421195)",42.0268894,-8.6421195
Viana do Castelo,"(41.6918046, -8.834451)",41.6918046,-8.834451
Vila Nova de Cerveira,"(41.9428454, -8.7408025)",41.9428454,-8.7408025
Amares,"(41.63165619999999, -8.3487113)",41.6316562,-8.3487113
Barcelos,"(41.5320504, -8.6190525)",41.5320504,-8.6190525
Braga,"(41.5454486, -8.426506999999999)",41.5454486,-8.426507
Esposende,"(41.5309169, -8.7805652)",41.5309169,-8.7805652
Terras de Bouro,"(41.7167409, -8.306244399999999)",41.7167409,-8.3062444
Vila Verde,"(41.6514763, -8.4349104)",41.6514763,-8.4349104
Cabeceiras de Basto,"(41.5116939, -7.9979753)",41.5116939,-7.9979753
Fafe,"(41.4512581, -8.1708837)",41.4512581,-8.1708837
Guimarães,"(41.44253, -8.2917857)",41.44253,-8.2917857
Mondim de Basto,"(41.4112348, -7.9526065)",41.4112348,-7.9526065
Póvoa de Lanhoso,"(41.5784784, -8.2689012)",41.5784784,-8.2689012
Vieira do Minho,"(41.63437620000001, -8.141662499999999)",41.6343762,-8.1416625
Vila Nova de Famalicão,"(41.41112589999999, -8.5237319)",41.4111259,-8.5237319
Vizela,"(41.3764108, -8.309834799999999)",41.3764108,-8.3098348
Arouca,"(40.9321489, -8.245099)",40.9321489,-8.245099
Espinho,"(41.0071914, -8.641033199999999)",41.0071914,-8.6410332
Gondomar,"(41.13955989999999, -8.5291423)",41.1395599,-8.5291423
Maia,"(41.2278891, -8.621049)",41.2278891,-8.621049
Matosinhos,"(41.1844362, -8.696277499999999)",41.1844362,-8.6962775
Oliveira de Azeméis,"(40.8387294, -8.4769763)",40.8387294,-8.4769763
Paredes,"(41.2053076, -8.3304861)",41.2053076,-8.3304861
Porto,"(41.1579438, -8.629105299999999)",41.1579438,-8.6291053
Póvoa de Varzim,"(41.3803685, -8.7609294)",41.3803685,-8.7609294
Santa Maria da Feira,"(40.926794, -8.5483247)",40.926794,-8.5483247
Santo Tirso,"(41.3431376, -8.4738078)",41.3431376,-8.4738078
São João da Madeira,"(40.90052379999999, -8.490671599999999)",40.9005238,-8.4906716
Trofa,"(41.3389988, -8.559548800000002)",41.3389988,-8.5595488
Vale de Cambra,"(40.8429643, -8.395616799999999)",40.8429643,-8.3956168
Valongo,"(41.188745, -8.4983411)",41.188745,-8.4983411
Vila do Conde,"(41.3519329, -8.747142300000002)",41.3519329,-8.7471423
Vila Nova de Gaia,"(41.1238759, -8.611785099999999)",41.1238759,-8.6117851
Boticas,"(41.6984124, -7.6710889)",41.6984124,-7.6710889
Chaves,"(41.7410586, -7.470604599999999)",41.7410586,-7.4706046
Montalegre,"(41.825411, -7.7886089)",41.825411,-7.7886089
Ribeira de Pena,"(41.5199011, -7.793851)",41.5199011,-7.793851
Valpaços,"(41.6069681, -7.3104483)",41.6069681,-7.3104483
Vila Pouca de Aguiar,"(41.5002387, -7.6432318)",41.5002387,-7.6432318
Amarante,"(41.26963569999999, -8.0826488)",41.2696357,-8.0826488
Baião,"(41.16177150000001, -8.035514)",41.1617715,-8.035514
Castelo de Paiva,"(41.0409444, -8.2714736)",41.0409444,-8.2714736
Celorico de Basto,"(41.38694960000001, -8.002203399999999)",41.3869496,-8.0022034
Cinfães,"(41.071713, -8.0898477)",41.071713,-8.0898477
Felgueiras,"(41.367707, -8.1951206)",41.367707,-8.1951206
Lousada,"(41.2774793, -8.2837376)",41.2774793,-8.2837376
Marco de Canaveses,"(41.1845043, -8.1477551)",41.1845043,-8.1477551
Paços de Ferreira,"(41.2785916, -8.372138099999999)",41.2785916,-8.3721381
Penafiel,"(41.2053186, -8.2896845)",41.2053186,-8.2896845
Resende,"(41.10636150000001, -7.963362999999999)",41.1063615,-7.963363
Alijó,"(41.2772291, -7.4749657)",41.2772291,-7.4749657
Armamar,"(41.1000712, -7.681943)",41.1000712,-7.681943
Carrazeda de Ansiães,"(41.2428168, -7.308031299999999)",41.2428168,-7.3080313
Freixo de Espada à Cinta,"(41.0900806, -6.8087993)",41.0900806,-6.8087993
Lamego,"(41.0953745, -7.812380500000001)",41.0953745,-7.8123805
Mesão Frio,"(41.1598648, -7.889922799999999)",41.1598648,-7.8899228
Moimenta da Beira,"(40.9813255, -7.615518699999999)",40.9813255,-7.6155187
Murça,"(41.4072842, -7.453387899999999)",41.4072842,-7.4533879
Penedono,"(40.9903208, -7.3943499)",40.9903208,-7.3943499
Peso da Régua,"(41.1656737, -7.7867018)",41.1656737,-7.7867018
