,Municipality,Total,BE,CDS-PP,CDS-PP.PPM,JPP,L/TDA,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPD/PSD.CDS-PP,PPM,PPV/CDC,PS,PTP,PTP-MAS,PURP,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Coordinates,x,y,Total_Avarage_income,Male_Avarage_income,Female_Avarage_Income,Unemployment_%Rate_2017,Unemployment_Rate_2017
0,Arcos de Valdevez,11461,523,0,0,5,28,27,99,69,298,72,202,50,0,6577,71,33,3264,0,130,13,PPD/PSD.CDS-PP,0.5738591745920949,21234,2146,12193.0,6896.0,0.10106433079024206,0.5742205896204201,0.32476217387209194,"(41.8458289, -8.419221300000002)",41.8458289,-8.4192213,708.4,747.2,676.3,5.1,0.051
1,Caminha,8716,765,0,0,7,30,34,68,95,514,62,134,41,0,3455,41,27,3372,0,52,19,PPD/PSD.CDS-PP,0.39639743001376776,15934,1764,10159.0,4012.0,0.11070666499309652,0.6375674657964102,0.2517886280908749,"(41.8772779, -8.8388267)",41.877277899999996,-8.838826699999998,715.4,759.5,672.6,5,0.05
2,Melgaço,3659,215,0,0,5,12,11,36,24,93,29,53,16,0,1672,16,11,1426,0,34,6,PPD/PSD.CDS-PP,0.4569554523093741,8325,701,4559.0,3066.0,0.0842042042042042,0.5476276276276276,0.3682882882882883,"(42.1144544, -8.2579742)",42.1144544,-8.2579742,689.9,750.8,648.6,3.4,0.034
3,Monção,8989,634,0,0,15,30,21,83,46,230,59,149,31,0,4771,40,23,2768,0,82,7,PPD/PSD.CDS-PP,0.5307598175547892,18117,1760,11038.0,5320.0,0.09714632665452337,0.6092620190980846,0.2936468510239002,"(42.0771855, -8.4819441)",42.0771855,-8.4819441,682.8,723.7,642.4,3.6,0.036000000000000004
4,Paredes de Coura,4226,286,0,0,2,12,8,57,31,157,42,100,17,0,1596,26,17,1809,0,59,7,PS,0.4280643634642688,8665,1011,5226.0,2428.0,0.11667628390075015,0.6031159838430468,0.2802077322562031,"(41.9130455, -8.5614589)",41.9130455,-8.5614589,666.8,696.4,644.8,4.6,0.046
5,Ponte da Barca,6313,336,0,0,5,19,11,48,28,155,38,100,15,0,3121,26,14,2328,0,67,2,PPD/PSD.CDS-PP,0.49437668303500715,11340,1242,7305.0,2793.0,0.10952380952380952,0.6441798941798942,0.2462962962962963,"(41.8056373, -8.4157905)",41.805637299999994,-8.4157905,691.2,701.3,679.7,5.1,0.051
6,Ponte de Lima,23462,1379,0,0,27,52,83,161,143,976,198,505,94,0,14289,132,92,5137,0,151,43,PPD/PSD.CDS-PP,0.60902736339613,41892,5454,27493.0,8946.0,0.13019192208536237,0.6562828224959419,0.2135491263248353,"(41.7647333, -8.5827407)",41.764733299999996,-8.582740699999999,677.6,708.2,642.0,4.3,0.043
7,Valença,6259,437,0,0,7,11,21,66,64,255,58,108,24,0,3155,29,19,1966,0,33,6,PPD/PSD.CDS-PP,0.5040741332481227,13389,1560,8549.0,3281.0,0.11651355590410038,0.6385092239898424,0.2450519082829188,"(42.02688939999999, -8.6421195)",42.026889399999995,-8.642119500000002,707.5,750.9,660.6,5.4,0.054000000000000006
8,Viana do Castelo,45508,5264,0,0,82,244,207,375,551,3896,513,986,253,0,17921,136,136,14528,0,314,102,PPD/PSD.CDS-PP,0.3937988925024172,85231,10616,55844.0,18772.0,0.12455561943424341,0.6552076122537575,0.22024850113221714,"(41.6918046, -8.834451)",41.691804600000005,-8.834451,801.6,855.8,734.3,5.5,0.055
9,Vila Nova de Cerveira,4526,386,0,0,5,15,22,44,35,152,42,63,18,0,1952,18,18,1711,0,37,8,PPD/PSD.CDS-PP,0.43128590366769776,8870,1060,5743.0,2067.0,0.11950394588500564,0.6474633596392334,0.233032694475761,"(41.9428454, -8.7408025)",41.942845399999996,-8.7408025,805.2,881.9,725.6,3.9,0.039
10,Amares,9965,745,0,0,11,40,23,15,62,395,121,189,49,0,5477,14,30,2736,0,33,25,PPD/PSD.CDS-PP,0.5496236828901154,18165,2410,12448.0,3307.0,0.13267272226809798,0.6852738783374621,0.18205339939443985,"(41.63165619999999, -8.3487113)",41.6316562,-8.3487113,663.3,673.3,646.4,6,0.06
11,Barcelos,67058,4948,0,0,72,248,208,121,481,2170,543,1294,278,0,37326,133,111,18758,0,265,102,PPD/PSD.CDS-PP,0.556622625190134,117345,15734,81981.0,19631.0,0.13408325876688398,0.6986322382717628,0.16729302484127997,"(41.5320504, -8.6190525)",41.532050399999996,-8.619052499999999,714.4,752.7,678.7,3.7,0.037000000000000005
12,Braga,95783,10443,0,0,138,747,354,237,957,7450,1179,1585,426,0,40314,211,229,30929,0,357,227,PPD/PSD.CDS-PP,0.42088888424877063,181282,26519,126077.0,28687.0,0.1462858971105791,0.6954744541653336,0.1582451649915601,"(41.5454486, -8.426506999999999)",41.5454486,-8.426507,852.2,913.5,772.0,6.5,0.065
13,Esposende,17948,1340,0,0,30,90,74,41,185,741,195,383,84,0,10410,33,47,4181,0,73,41,PPD/PSD.CDS-PP,0.5800089146423,33962,4957,23369.0,5636.0,0.14595724633413815,0.6880925740533538,0.1659501796125081,"(41.5309169, -8.7805652)",41.5309169,-8.780565199999998,725.5,758.1,683.2,4.1,0.040999999999999995
14,Terras de Bouro,3910,194,0,0,3,10,54,10,22,189,41,42,12,0,2228,15,7,1060,0,15,8,PPD/PSD.CDS-PP,0.5698209718670076,6524,709,4088.0,1728.0,0.10867565910484366,0.6266094420600858,0.26486817903126914,"(41.7167409, -8.306244399999999)",41.7167409,-8.3062444,727.8,863.9,612.0,8.1,0.081
15,Vila Verde,24262,1598,0,0,24,106,68,57,165,681,223,471,100,0,14495,54,58,5983,0,120,59,PPD/PSD.CDS-PP,0.5974363201714615,47032,6652,31642.0,8738.0,0.1414356183024324,0.6727759823099166,0.18578839938765096,"(41.6514763, -8.4349104)",41.6514763,-8.434910400000001,687.2,712.6,657.3,5,0.05
16,Cabeceiras de Basto,8873,375,0,0,8,80,25,13,33,187,49,85,12,0,4110,11,19,3832,0,21,13,PPD/PSD.CDS-PP,0.4632029753183816,15889,2176,10688.0,3025.0,0.1369500912581031,0.6726666247089181,0.1903832840329788,"(41.5116939, -7.9979753)",41.511693900000004,-7.997975299999999,648,667.7,626.2,9.1,0.091
17,Fafe,27305,2194,0,0,87,128,92,40,181,1244,357,358,100,0,12081,34,53,10229,0,82,45,PPD/PSD.CDS-PP,0.44244643838124886,48742,6234,33423.0,9085.0,0.12789791145213575,0.6857125271839482,0.18638956136391613,"(41.4512581, -8.1708837)",41.451258100000004,-8.1708837,671.2,698.2,647.0,7.1,0.071
18,Guimarães,88303,9530,0,0,126,433,336,192,699,6456,1466,1418,341,0,36009,179,227,30477,0,259,155,PPD/PSD.CDS-PP,0.40778908983839735,153645,20374,107597.0,25674.0,0.132604380227147,0.7002961371993882,0.1670994825734648,"(41.44253, -8.2917857)",41.44253,-8.2917857,743.9,778.2,704.6,6.8,0.068
19,Mondim de Basto,3798,192,0,0,0,12,7,10,15,113,41,28,14,0,2220,8,0,1106,0,21,11,PPD/PSD.CDS-PP,0.584518167456556,7046,771,4738.0,1537.0,0.10942378654555776,0.6724382628441669,0.21813795061027533,"(41.4112348, -7.9526065)",41.4112348,-7.9526065,625.6,616.6,635.4,9.2,0.092
20,Póvoa de Lanhoso,11952,731,0,0,14,30,32,22,104,356,108,172,36,0,6340,16,32,3897,0,43,19,PPD/PSD.CDS-PP,0.5304551539491299,21493,2831,14715.0,3948.0,0.13171730330805378,0.6846415111896896,0.18368771227841624,"(41.5784784, -8.2689012)",41.5784784,-8.2689012,658.7,677.8,641.8,6.7,0.067
21,Vieira do Minho,7163,419,0,0,8,27,10,10,44,245,69,80,20,0,3773,19,11,2387,0,30,11,PPD/PSD.CDS-PP,0.5267346084042999,12076,1325,7923.0,2829.0,0.10972176217290494,0.6560947333554157,0.234266313348791,"(41.63437620000001, -8.141662499999999)",41.634376200000005,-8.1416625,685.6,718,651.0,10.2,0.102
22,Vila Nova de Famalicão,72979,6935,0,0,79,301,237,144,605,3524,830,1097,264,0,34059,117,125,24293,0,231,138,PPD/PSD.CDS-PP,0.46669589882020857,132123,17851,91972.0,22301.0,0.1351089515073076,0.6961089288011928,0.1687896883964185,"(41.41112589999999, -8.5237319)",41.411125899999995,-8.5237319,804.4,871.7,722.5,5.3,0.053
23,Vizela,12463,1696,0,0,22,55,46,55,77,699,171,217,73,0,4427,21,21,4823,0,40,20,PS,0.3869854770119554,23750,3211,17194.0,3345.0,0.1352,0.7239578947368421,0.1408421052631579,"(41.3764108, -8.309834799999999)",41.376410799999995,-8.309834799999999,662.2,702.6,629.0,5.4,0.054000000000000006
24,Arouca,11565,591,0,0,18,29,29,28,77,241,86,100,40,0,7816,47,25,2378,0,39,21,PPD/PSD.CDS-PP,0.675832252485949,21125,2829,14001.0,4296.0,0.13391715976331361,0.6627692307692308,0.20336094674556213,"(40.9321489, -8.245099)",40.9321489,-8.245099,712.8,751.2,654.4,3.8,0.038
25,Espinho,18136,1920,0,0,17,94,50,46,216,1518,235,204,69,0,7125,67,57,6436,0,52,30,PPD/PSD.CDS-PP,0.39286501985002203,29547,3392,18842.0,7313.0,0.1148001489152875,0.6376958743696484,0.24750397671506413,"(41.0071914, -8.641033199999999)",41.007191399999996,-8.641033199999999,779,839.3,720.4,12.1,0.121
26,Gondomar,83295,11231,0,0,139,375,362,254,1590,9052,1313,943,426,0,28246,190,0,28769,0,241,164,PS,0.34538687796386336,165685,22070,112766.0,30849.0,0.1332045749464345,0.6806047620484654,0.18619066300510004,"(41.13955989999999, -8.5291423)",41.1395599,-8.5291423,768.8,791.4,738.9,9.3,0.09300000000000001
27,Maia,70465,9626,0,0,103,407,313,216,1559,4846,709,870,351,0,27964,172,0,22970,0,246,113,PPD/PSD.CDS-PP,0.39684949975164974,136390,20514,92884.0,22992.0,0.15040692132854314,0.6810176699171494,0.1685754087543075,"(41.2278891, -8.621049)",41.2278891,-8.621049000000001,959.4,1048.6,838.2,7,0.07
28,Matosinhos,90180,12411,0,0,115,604,310,362,1870,6811,942,957,420,0,30653,237,0,34071,0,279,138,PS,0.37781104457751163,173546,23288,115487.0,34772.0,0.13418920631993822,0.6654546921277356,0.20036186371336706,"(41.1844362, -8.696277499999999)",41.1844362,-8.696277499999999,1006,1074.1,914.9,7.7,0.077
29,Oliveira de Azeméis,34636,3403,0,0,47,136,157,112,326,1103,307,507,182,0,17213,108,85,10763,0,129,58,PPD/PSD.CDS-PP,0.49696847210994344,66377,7807,44941.0,13630.0,0.11761604170119168,0.6770568118474772,0.20534221191075222,"(40.8387294, -8.4769763)",40.8387294,-8.4769763,869.3,954.4,725.3,3.5,0.035
30,Paredes,43375,3622,0,0,53,140,166,131,446,2206,438,444,221,0,23139,131,0,12028,0,138,72,PPD/PSD.CDS-PP,0.5334639769452449,86189,13240,60798.0,12152.0,0.1536158906589008,0.7054032417129796,0.14099247003677964,"(41.2053076, -8.3304861)",41.2053076,-8.330486099999998,701.2,715.4,679.7,8.1,0.081
31,Porto,129922,15222,0,0,97,1264,345,337,2522,11213,1109,1122,524,0,51611,310,0,43730,0,258,258,PPD/PSD.CDS-PP,0.3972460399316513,214353,27009,127402.0,59943.0,0.1260024352353361,0.5943560388704613,0.27964619109599587,"(41.1579438, -8.629105299999999)",41.1579438,-8.6291053,1091.7,1213.1,969.6,12.5,0.125
32,Póvoa de Varzim,30985,2580,0,0,29,143,109,74,424,1420,233,382,169,0,17376,65,0,7834,0,100,47,PPD/PSD.CDS-PP,0.5607874778118445,62360,9098,42274.0,10988.0,0.14589480436177035,0.677902501603592,0.1762026940346376,"(41.3803685, -8.7609294)",41.3803685,-8.7609294,771.5,837.3,702.7,6.6,0.066
33,Santa Maria da Feira,70731,7899,0,0,90,270,287,200,689,3003,740,1097,356,0,31701,249,141,23611,0,274,124,PPD/PSD.CDS-PP,0.44819103363447427,138740,18614,95452.0,24674.0,0.13416462447743982,0.687991927346115,0.17784344817644515,"(40.926794, -8.5483247)",40.926794,-8.548324699999998,845.8,916,750.0,5.9,0.059000000000000004
34,Santo Tirso,38479,3817,0,0,46,135,102,99,437,2310,463,440,225,0,15603,99,0,14523,0,127,53,PPD/PSD.CDS-PP,0.4054939057667819,68754,7808,46399.0,14548.0,0.11356430171335485,0.6748552811472787,0.21159496174768014,"(41.3431376, -8.4738078)",41.3431376,-8.473807800000001,762.4,805.8,716.8,7.8,0.078
35,São João da Madeira,11434,1268,0,0,8,57,47,44,160,663,93,164,66,0,4733,26,24,4037,0,21,23,PPD/PSD.CDS-PP,0.41394087808291063,21521,2758,14722.0,4041.0,0.12815389619441475,0.6840760187723619,0.18777008503322337,"(40.90052379999999, -8.490671599999999)",40.900523799999995,-8.4906716,838.5,918,756.5,5,0.05
36,Trofa,20280,2052,0,0,38,60,86,57,249,1058,209,241,104,0,9781,66,0,6196,0,59,24,PPD/PSD.CDS-PP,0.48229783037475343,38234,5080,26668.0,6487.0,0.13286603546581577,0.6974943767327509,0.16966574253282418,"(41.3389988, -8.559548800000002)",41.3389988,-8.559548800000002,847.7,877.2,795.9,7.2,0.07200000000000001
37,Vale de Cambra,12455,1081,0,0,15,61,49,33,129,351,96,179,65,0,7220,62,35,3019,0,40,20,PPD/PSD.CDS-PP,0.5796868727418707,21601,2437,13951.0,5213.0,0.11281885097912134,0.6458497291792047,0.241331419841674,"(40.8429643, -8.395616799999999)",40.8429643,-8.3956168,902.8,1004.1,738.7,3.9,0.039
38,Valongo,47467,6436,0,0,90,268,202,135,885,4072,645,627,261,0,16729,148,0,16702,0,174,93,PPD/PSD.CDS-PP,0.352434322792677,95660,14131,65302.0,16227.0,0.147721095546728,0.6826468743466444,0.16963203010662764,"(41.188745, -8.4983411)",41.188745000000004,-8.4983411,791.5,830.2,734.9,9.1,0.091
39,Vila do Conde,39312,4020,0,0,68,168,140,103,624,2161,397,475,212,0,16860,91,0,13777,0,150,66,PPD/PSD.CDS-PP,0.42887667887667885,79373,11605,53535.0,14233.0,0.1462084084008416,0.6744736875259849,0.1793179040731735,"(41.3519329, -8.747142300000002)",41.351932899999994,-8.7471423,876.5,956.8,763.7,5.9,0.059000000000000004
40,Vila Nova de Gaia,154699,21156,0,0,215,949,658,464,3182,12604,2080,2002,815,0,55394,373,0,54010,0,490,307,PPD/PSD.CDS-PP,0.35807600566260933,299911,41713,202784.0,55414.0,0.1390845950965453,0.6761472570195824,0.18476814788387222,"(41.1238759, -8.611785099999999)",41.123875899999994,-8.611785099999999,896.4,944.8,832.6,11.2,0.11199999999999999
41,Boticas,3330,85,0,0,0,7,7,13,8,76,23,19,2,0,2275,15,0,771,0,23,6,PPD/PSD.CDS-PP,0.6831831831831832,5178,477,3025.0,1677.0,0.0921205098493627,0.5842023947470065,0.3238702201622248,"(41.6984124, -7.6710889)",41.6984124,-7.671088900000001,666.5,708,630.6,6.4,0.064
42,Chaves,19959,1152,0,0,0,80,68,46,150,634,198,239,76,0,10749,59,0,6377,0,95,36,PPD/PSD.CDS-PP,0.5385540357733354,39591,4236,24768.0,10588.0,0.10699401379101312,0.6255967265287565,0.2674345179459978,"(41.7410586, -7.470604599999999)",41.7410586,-7.470604600000001,751.9,815.6,684.6,8.1,0.081
43,Montalegre,5928,182,0,0,0,12,12,10,13,64,46,30,8,0,2944,19,0,2563,0,21,4,PPD/PSD.CDS-PP,0.4966261808367072,9280,723,5307.0,3250.0,0.0779094827586207,0.571875,0.35021551724137934,"(41.825411, -7.7886089)",41.825410999999995,-7.788608900000001,674.2,695.8,648.9,6.8,0.068
44,Ribeira de Pena,3425,104,0,0,0,17,10,5,7,69,35,26,1,0,1760,15,0,1351,0,20,5,PPD/PSD.CDS-PP,0.5138686131386861,6116,686,3809.0,1622.0,0.11216481360366252,0.6227926749509484,0.26520601700457813,"(41.5199011, -7.793851)",41.5199011,-7.793850999999999,766.1,822.6,685.8,8.3,0.083
45,Valpaços,8882,312,0,0,0,19,28,35,28,120,56,46,16,0,6133,39,0,1981,0,60,9,PPD/PSD.CDS-PP,0.6904976356676424,15224,1359,8569.0,5296.0,0.08926694692590646,0.5628612716763006,0.34787178139779296,"(41.6069681, -7.3104483)",41.6069681,-7.310448299999999,675.3,694.3,657.0,8.1,0.081
