generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
0,3340,3277,3129,3345,1080,1153,1129,1090,1037,1063,1103,1038,1091,1082,1109,1050,14157
0,3387,3325,3315,3207,1171,1128,1107,1080,1120,1030,1083,1108,1049,1134,1102,1077,14279
0,3371,3397,3579,3498,1149,1140,1113,1153,1095,1121,1118,1154,1181,1166,1137,1172,14991
0,3042,3185,3103,3067,998,1056,1053,994,1033,1038,1051,1011,1054,1054,1063,974,13415
0,3303,3361,3267,3255,1051,1122,1101,1104,1067,1113,1025,1131,1118,1083,1063,1084,14310
1,1288,1013,986,1404,378,407,635,378,361,518,589,414,575,349,343,341,5094
1,911,754,890,1382,347,300,477,227,268,445,499,464,380,361,316,470,4320
1,1366,1481,1473,1882,493,567,520,484,675,546,577,591,523,584,417,614,6813
1,815,852,1067,1406,308,300,416,405,368,343,483,493,392,398,377,461,4536
2,360,799,380,572,86,37,333,119,163,623,464,264,94,138,252,349,2300
2,468,1022,632,854,271,188,388,241,422,747,440,193,154,264,112,184,3348
1,794,1035,878,1334,318,300,319,301,374,527,361,435,416,393,479,381,4478
2,1506,1249,801,1912,249,173,736,627,653,919,620,739,370,418,252,245,5935
3,487,263,829,302,71,20,456,5,294,203,921,74,29,23,30,648,1988
2,407,478,1150,675,97,151,151,205,352,249,845,297,190,115,147,623,2998
3,156,1087,351,999,57,72,654,322,367,963,133,12,24,329,2,26,3225
2,657,1256,760,573,90,97,323,154,438,898,436,316,384,206,237,213,3700
4,1389,186,1121,622,36,78,1130,11,894,74,1280,50,110,99,77,315,3482
3,3124,2399,1537,4258,498,40,993,1378,1293,1495,657,2168,862,860,728,300,12364
4,213,1713,256,1803,40,114,890,792,213,1004,61,1,24,811,2,4,5014
3,801,709,1462,1171,148,249,378,388,865,318,1160,358,157,203,183,322,4557
3,1484,1984,1024,984,43,8,203,161,1069,1155,373,473,173,457,390,295,7152
5,2303,263,1523,1517,27,112,1724,3,1553,29,2048,46,275,358,104,94,5839
4,2814,1893,1396,3426,242,25,1023,1026,1130,999,745,1804,837,797,510,466,10454
5,542,1692,358,1957,56,305,878,879,318,1042,44,21,21,861,10,5,5658
4,1494,896,1490,1174,90,126,788,278,900,331,1382,424,125,346,267,546,5505
